codigoinsitucion;nombreinstitucion;nitinstitucion;codigopadreinstitucion;tipoinstitucion;codigodepartamento;nombredeparamento;codigomunicipio;nombremunicipio;codigoordeninstitucional;nombreordeninstitucional;codigoorigeninstitucional;nombreorigeninstitucional;codigocaracterinstitucional;nombrecaracterinstitucional;codigotipoacreditacion;nombretipoacreditacion;codigotipomarcocreacion;numeromarcocreacion;nombretipomarcocreacion
9,104;ESCUELA MILITAR DE CADETES GENERAL JOSE MARIA CORDOVA;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;30;NO INFORMA
2,106;DIRECCION NACIONAL DE ESCUELAS;900373379-0;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;5;NACIONAL;1;OFICIAL;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;3;REGISTRO ALTA CALIDAD;5;14;LEY
4,705;FUNDACION CENTRO DE EDUCACION SUPERIORINVESTIGACION Y PROFESIONALIZACION -CEDINPRO-;860.512.509-4;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;1,000;RESOLUCION
9,117;FUNDACION POLITECNICA - CORPO;1900093502-9;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;3,623;RESOLUCION
1,835;UNIVERSIDAD DE CIENCIAS APLICADAS Y AMBIENTALES UDCA.;860.403.721.2;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;4;UNIVERSIDAD;4;N/A;7;7,392;RESOLUCION
3,830;CORPORACION UNIVERSAL DE INVESTIGACION Y TECNOLOGIA -CORUNIVERSITEC-;860.514.382-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;2,286;RESOLUCION
2,831;CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA;830018780-7;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;20;RESOLUCION
2,837;CORPORACION UNIVERSITARIA REPUBLICANA;830.065.186-1;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;3,061;RESOLUCION
2,811;ESCUELA COLOMBIANA DE INGENIERIA JULIO GARAVITO;860.034.811;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;3;REGISTRO ALTA CALIDAD;7;86;RESOLUCION
2,830;CORPORACION UNIVERSITARIA IBEROAMERICANA;860.530.837-7;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;428;RESOLUCION
4,832;CORPORACION INSTITUTO SUPERIOR DE EDUCACION SOCIAL-ISES-;860.066.098-5;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;2,028;RESOLUCION
3,809;INSTITUTO SUPERIOR DE CIENCIAS SOCIALES Y ECONOMICO FAMILIARES-ICSEF-;860.032.286-7;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;1,667;RESOLUCION
4,813;CORPORACION UNIFICADA NACIONAL DE EDUCACION SUPERIOR-CUN-;860401734-9;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;1,379;RESOLUCION
2,713;FUNDACION UNIVERSITARIA LOS LIBERTADORES;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;7,542;RESOLUCION
3,702;FUNDACION TECNOLOGICA AUTONOMA DE BOGOTA-FABA-;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;2;INSTITUCION TECNOLOGICA;4;N/A;7;6,845;RESOLUCION
4,708;FUNDACION ESCUELA COLOMBIANA DE HOTELERIA Y TURISMO-ECOTET-;860.350.003-3;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;1;INSTITUCION TECNICA PROFESIONAL;4;N/A;7;2,285;RESOLUCION
2,709;FUNDACION UNIVERSITARIA SAN MARTIN;NO INFORMA;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;6;FUNDACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;7;12,387;RESOLUCION
9,899;INSTITUCION UNIVERSITARIA DE COLOMBIA - UNIVERSITARIA DE COLOMBIA;900350945-0;;PRINCIPAL;11;BOGOTA D.C;11001;BOGOT¿ D.C.;7;CORPORACION;2;PRIVADA;3;INSTITUCION UNIVERSITARIA/ESCUELA TECNOLOGICA;4;N/A;19;2,202;NO INFORMA
